,filename,filepath,label
0,cat.1.jpg,./dogvscat/cats/cat.1.jpg,0
1,cat.10.jpg,./dogvscat/cats/cat.10.jpg,0
2,cat.100.jpg,./dogvscat/cats/cat.100.jpg,0
3,cat.1000.jpg,./dogvscat/cats/cat.1000.jpg,0
4,cat.1001.jpg,./dogvscat/cats/cat.1001.jpg,0
5,cat.1002.jpg,./dogvscat/cats/cat.1002.jpg,0
6,cat.1003.jpg,./dogvscat/cats/cat.1003.jpg,0
7,cat.1004.jpg,./dogvscat/cats/cat.1004.jpg,0
8,cat.1005.jpg,./dogvscat/cats/cat.1005.jpg,0
9,cat.1006.jpg,./dogvscat/cats/cat.1006.jpg,0
10,cat.1007.jpg,./dogvscat/cats/cat.1007.jpg,0
11,cat.1008.jpg,./dogvscat/cats/cat.1008.jpg,0
12,cat.1009.jpg,./dogvscat/cats/cat.1009.jpg,0
13,cat.101.jpg,./dogvscat/cats/cat.101.jpg,0
14,cat.1010.jpg,./dogvscat/cats/cat.1010.jpg,0
15,cat.1011.jpg,./dogvscat/cats/cat.1011.jpg,0
16,cat.1012.jpg,./dogvscat/cats/cat.1012.jpg,0
17,cat.1013.jpg,./dogvscat/cats/cat.1013.jpg,0
18,cat.1014.jpg,./dogvscat/cats/cat.1014.jpg,0
19,cat.1015.jpg,./dogvscat/cats/cat.1015.jpg,0
20,cat.1016.jpg,./dogvscat/cats/cat.1016.jpg,0
21,cat.1017.jpg,./dogvscat/cats/cat.1017.jpg,0
22,cat.1018.jpg,./dogvscat/cats/cat.1018.jpg,0
23,cat.1019.jpg,./dogvscat/cats/cat.1019.jpg,0
24,cat.102.jpg,./dogvscat/cats/cat.102.jpg,0
25,cat.1020.jpg,./dogvscat/cats/cat.1020.jpg,0
26,cat.1021.jpg,./dogvscat/cats/cat.1021.jpg,0
27,cat.1022.jpg,./dogvscat/cats/cat.1022.jpg,0
28,cat.1023.jpg,./dogvscat/cats/cat.1023.jpg,0
29,cat.1024.jpg,./dogvscat/cats/cat.1024.jpg,0
30,cat.1025.jpg,./dogvscat/cats/cat.1025.jpg,0
31,cat.1026.jpg,./dogvscat/cats/cat.1026.jpg,0
32,cat.1027.jpg,./dogvscat/cats/cat.1027.jpg,0
33,cat.1028.jpg,./dogvscat/cats/cat.1028.jpg,0
34,cat.1029.jpg,./dogvscat/cats/cat.1029.jpg,0
35,cat.103.jpg,./dogvscat/cats/cat.103.jpg,0
36,cat.1030.jpg,./dogvscat/cats/cat.1030.jpg,0
37,cat.1031.jpg,./dogvscat/cats/cat.1031.jpg,0
38,cat.1032.jpg,./dogvscat/cats/cat.1032.jpg,0
39,cat.1033.jpg,./dogvscat/cats/cat.1033.jpg,0
40,cat.1034.jpg,./dogvscat/cats/cat.1034.jpg,0
41,cat.1035.jpg,./dogvscat/cats/cat.1035.jpg,0
42,cat.1036.jpg,./dogvscat/cats/cat.1036.jpg,0
43,cat.1037.jpg,./dogvscat/cats/cat.1037.jpg,0
44,cat.1038.jpg,./dogvscat/cats/cat.1038.jpg,0
45,cat.1039.jpg,./dogvscat/cats/cat.1039.jpg,0
46,cat.104.jpg,./dogvscat/cats/cat.104.jpg,0
47,cat.1040.jpg,./dogvscat/cats/cat.1040.jpg,0
48,cat.1041.jpg,./dogvscat/cats/cat.1041.jpg,0
